Batch Size,Seq Len,Gen Len,Task,Execution Time(us),Batch Size.1,Seq Len.1,Gen Len.1,Task.1,Execution Time(us).1,Batch Size,Seq Len,Gen Len,Task,Execution Time(us)
1,18,32,Average Summarization,886783.8382720947,1,18,32,Average Summarization,4180.192947387695,1,18,32,Average Summarization,4146.814346313477
1,18,32,Average Generation,5590.4388427734375,1,18,32,Average Generation,3746.571079377205,1,18,32,Average Generation,3709.862309117471
1,18,32,Summarization,886783.8382720947,1,18,32,Summarization,4180.192947387695,1,18,32,Summarization,4146.814346313477
1,18,32,Generation,59934.85450744629,1,18,32,Generation,3768.2056427001953,1,18,32,Generation,3731.7276000976562
1,18,32,Generation,3985.166549682617,1,18,32,Generation,3748.4169006347656,1,18,32,Generation,3725.0518798828125
1,18,32,Generation,3811.359405517578,1,18,32,Generation,3734.350204467773,1,18,32,Generation,3702.402114868164
1,18,32,Generation,3779.888153076172,1,18,32,Generation,3759.8609924316406,1,18,32,Generation,3718.137741088867
1,18,32,Generation,3783.702850341797,1,18,32,Generation,3755.569458007813,1,18,32,Generation,3714.5614624023438
1,18,32,Generation,3799.2000579833984,1,18,32,Generation,3739.595413208008,1,18,32,Generation,3720.998764038086
1,18,32,Generation,3842.11540222168,1,18,32,Generation,3747.46322631836,1,18,32,Generation,3722.4292755126953
1,18,32,Generation,3773.4508514404297,1,18,32,Generation,3743.6485290527344,1,18,32,Generation,3734.8270416259766
1,18,32,Generation,3762.7220153808594,1,18,32,Generation,3735.30387878418,1,18,32,Generation,3712.4156951904297
1,18,32,Generation,3781.08024597168,1,18,32,Generation,3755.569458007813,1,18,32,Generation,3715.038299560547
1,18,32,Generation,3753.662109375,1,18,32,Generation,3728.3897399902335,1,18,32,Generation,3710.9851837158203
1,18,32,Generation,3778.9344787597656,1,18,32,Generation,3798.246383666992,1,18,32,Generation,3700.9716033935547
1,18,32,Generation,3772.497177124024,1,18,32,Generation,3739.833831787109,1,18,32,Generation,3694.772720336914
1,18,32,Generation,3778.219223022461,1,18,32,Generation,3720.283508300781,1,18,32,Generation,3700.25634765625
1,18,32,Generation,3836.631774902344,1,18,32,Generation,3734.350204467773,1,18,32,Generation,3694.0574645996094
1,18,32,Generation,3766.059875488281,1,18,32,Generation,3744.1253662109375,1,18,32,Generation,3698.3489990234375
1,18,32,Generation,3759.622573852539,1,18,32,Generation,3737.926483154297,1,18,32,Generation,3707.1704864501953
1,18,32,Generation,3754.3773651123047,1,18,32,Generation,3725.767135620117,1,18,32,Generation,3717.4224853515625
1,18,32,Generation,3745.794296264648,1,18,32,Generation,3747.701644897461,1,18,32,Generation,3700.733184814453
1,18,32,Generation,3764.3909454345694,1,18,32,Generation,3745.079040527344,1,18,32,Generation,3707.8857421875
1,18,32,Generation,3743.1716918945312,1,18,32,Generation,3734.827041625977,1,18,32,Generation,3657.3410034179688
1,18,32,Generation,3854.751586914064,1,18,32,Generation,3857.851028442383,1,18,32,Generation,3711.700439453125
1,18,32,Generation,3747.224807739258,1,18,32,Generation,3739.1185760498047,1,18,32,Generation,3709.554672241211
1,18,32,Generation,3746.747970581055,1,18,32,Generation,3732.919692993164,1,18,32,Generation,3709.7930908203125
1,18,32,Generation,3763.437271118164,1,18,32,Generation,3750.324249267578,1,18,32,Generation,3737.4496459960938
1,18,32,Generation,3740.549087524414,1,18,32,Generation,3738.1649017333984,1,18,32,Generation,3695.249557495117
1,18,32,Generation,3750.324249267578,1,18,32,Generation,3738.4033203125,1,18,32,Generation,3710.031509399414
1,18,32,Generation,3743.886947631836,1,18,32,Generation,3756.999969482422,1,18,32,Generation,3711.4620208740234
1,18,32,Generation,3746.03271484375,1,18,32,Generation,3758.4304809570312,1,18,32,Generation,3713.369369506836
1,18,32,Generation,3751.039505004883,1,18,32,Generation,3711.223602294922,1,18,32,Generation,3713.1309509277344
1,18,32,Generation,3752.7084350585938,1,18,32,Generation,3715.753555297852,1,18,32,Generation,3706.4552307128906
